32 in 1,./images/32in1game.jpg,./images/32in1.jpg
Battlezone,./images/battlezonegame.jpg,
Star Fire,./images/starfiregame.jpg,./images/starfire.jpg
Polaris,./images/polarisgame.gif,./image/polaris.png
H.E.R.O.,./images/herogame.jpg,./images/hero.jpg
